epoch,step,test_loss,test_mae_brightness,test_mae_emission,test_mse_brightness,test_mse_emission,train_loss,val_loss,val_mae_brightness,val_mae_emission,val_mse_brightness,val_mse_emission
0,9,,,,,,,11.729561805725098,110.25064849853516,71.61084747314453,13714.3720703125,6575.34814453125
0,9,,,,,,111.66658782958984,,,,,
1,19,,,,,,,4.252523899078369,33.9249382019043,100.76776123046875,2823.554443359375,12135.0419921875
1,19,,,,,,4.336712837219238,,,,,
2,29,,,,,,,3.2148377895355225,43.885929107666016,36.21820068359375,3585.696533203125,2587.954833984375
2,29,,,,,,2.3407959938049316,,,,,
3,39,,,,,,,1.8007745742797852,33.21397018432617,47.8568000793457,1700.20556640625,2848.853759765625
3,39,,,,,,1.6857919692993164,,,,,
4,49,,,,,,,2.078850030899048,40.02506637573242,46.767181396484375,2019.58544921875,3030.835205078125
4,49,,,,,,1.1974704265594482,,,,,
5,59,,,,,,,1.861843466758728,37.43691635131836,45.55133056640625,1839.14111328125,2576.593994140625
5,59,,,,,,0.984058678150177,,,,,
6,69,,,,,,,1.6018470525741577,33.7106819152832,33.968074798583984,1687.6488037109375,1738.7320556640625
6,69,,,,,,1.0795843601226807,,,,,
7,79,,,,,,,1.6055212020874023,30.56737518310547,38.349578857421875,1677.4794921875,1806.44287109375
7,79,,,,,,1.1383615732192993,,,,,
8,89,,,,,,,1.9283723831176758,27.908729553222656,40.838558197021484,2026.9852294921875,2114.396240234375
8,89,,,,,,1.1905498504638672,,,,,
9,99,,,,,,,2.004627227783203,34.15748596191406,55.93308639526367,1672.798828125,4169.24609375
9,99,,,,,,1.0622727870941162,,,,,
10,109,,,,,,,2.5543575286865234,44.64692306518555,56.113704681396484,2389.471435546875,4141.931640625
10,109,,,,,,0.9347543716430664,,,,,
11,119,,,,,,,2.007469892501831,39.00417709350586,47.74898910522461,1917.0135498046875,3077.566162109375
11,119,,,,,,1.3144956827163696,,,,,
12,129,,,,,,,1.5445486307144165,28.80223274230957,32.93670654296875,1666.1829833984375,1499.9833984375
12,129,,,,,,1.0306117534637451,,,,,
13,139,,,,,,,1.3901759386062622,29.216188430786133,25.09847068786621,1593.75048828125,923.006591796875
13,139,,,,,,0.8625583648681641,,,,,
14,149,,,,,,,1.3846315145492554,32.63651657104492,26.163423538208008,1553.2774658203125,1074.1644287109375
14,149,,,,,,0.7315806150436401,,,,,
15,159,,,,,,,1.289886713027954,30.23682403564453,18.81954002380371,1521.3702392578125,663.1030883789062
15,159,,,,,,0.7809431552886963,,,,,
16,169,,,,,,,1.260766863822937,30.002519607543945,19.2132625579834,1522.2100830078125,488.4448547363281
16,169,,,,,,0.6989355087280273,,,,,
17,179,,,,,,,1.3165220022201538,33.474693298339844,20.103370666503906,1556.5804443359375,659.5730590820312
17,179,,,,,,0.7592153549194336,,,,,
18,189,,,,,,,1.4251327514648438,34.776039123535156,26.723983764648438,1622.8292236328125,996.1262817382812
18,189,,,,,,0.807411789894104,,,,,
19,199,,,,,,,1.3387190103530884,27.39201545715332,16.62655258178711,1640.5843505859375,408.5547790527344
19,199,,,,,,0.8713024854660034,,,,,
20,209,,,,,,,1.3480709791183472,28.924652099609375,26.55657196044922,1509.6944580078125,1057.461669921875
20,209,,,,,,0.9409740567207336,,,,,
21,219,,,,,,,1.2334978580474854,31.864463806152344,18.154333114624023,1480.03271484375,519.8779907226562
21,219,,,,,,0.7851890921592712,,,,,
22,229,,,,,,,1.3913592100143433,32.80256652832031,29.780263900756836,1536.3233642578125,1190.5802001953125
22,229,,,,,,0.8185217976570129,,,,,
23,239,,,,,,,1.3269851207733154,27.225669860839844,17.475831985473633,1609.2222900390625,482.0478210449219
23,239,,,,,,0.7469887733459473,,,,,
24,249,,,,,,,1.350075364112854,30.232284545898438,31.282577514648438,1456.7008056640625,1309.7308349609375
24,249,,,,,,0.8371469378471375,,,,,
25,259,,,,,,,1.2273999452590942,29.193567276000977,21.20816993713379,1451.7027587890625,612.6768798828125
25,259,,,,,,0.6794005036354065,,,,,
26,269,,,,,,,1.281019687652588,31.57707977294922,23.530385971069336,1475.9752197265625,817.1046752929688
26,269,,,,,,0.6914845705032349,,,,,
27,279,,,,,,,1.235926866531372,31.887479782104492,17.251754760742188,1491.3948974609375,482.56201171875
27,279,,,,,,0.7319812774658203,,,,,
28,289,,,,,,,1.277561902999878,32.646148681640625,18.002399444580078,1534.7655029296875,530.0006713867188
28,289,,,,,,0.7252088189125061,,,,,
29,299,,,,,,,1.2796168327331543,30.19867515563965,18.255395889282227,1533.4124755859375,548.1963500976562
29,299,,,,,,0.7571315169334412,,,,,
30,309,,,,,,,1.4191228151321411,37.11500930786133,15.040852546691895,1745.49560546875,404.1499328613281
30,309,,,,,,0.8171303868293762,,,,,
31,319,,,,,,,1.2826696634292603,32.72289276123047,21.61179542541504,1517.7222900390625,637.3175659179688
31,319,,,,,,0.7569026350975037,,,,,
32,329,,,,,,,1.2980550527572632,34.43519592285156,16.511518478393555,1582.8565673828125,431.9735412597656
32,329,,,,,,0.6860756278038025,,,,,
33,339,,,,,,,1.3964184522628784,35.5402717590332,23.254117965698242,1639.61669921875,751.4695434570312
33,339,,,,,,0.7782770395278931,,,,,
34,349,,,,,,,1.4376558065414429,27.417770385742188,32.214168548583984,1565.6636962890625,1329.0439453125
34,349,,,,,,0.7624735236167908,,,,,
35,359,,,,,,,1.7355600595474243,28.298166275024414,54.20640182495117,1495.7860107421875,3393.992919921875
35,359,,,,,,0.8406475186347961,,,,,
36,369,,,,,,,2.105703592300415,38.91641616821289,55.3480339050293,1904.5660400390625,3710.394775390625
36,369,,,,,,0.9588292241096497,,,,,
37,379,,,,,,,1.3836206197738647,27.679466247558594,27.722944259643555,1560.7783203125,1034.190185546875
37,379,,,,,,1.057942509651184,,,,,
38,389,,,,,,,1.3800593614578247,26.864572525024414,22.667455673217773,1625.98583984375,717.35498046875
38,389,,,,,,0.8529502749443054,,,,,
39,399,,,,,,,1.3474864959716797,33.44099044799805,22.60650062561035,1549.8790283203125,871.6558227539062
39,399,,,,,,0.7868897914886475,,,,,
40,409,,,,,,,1.3010282516479492,30.731246948242188,22.1911678314209,1496.8740234375,839.6472778320312
40,409,,,,,,0.755554735660553,,,,,
41,419,,,,,,,1.2503215074539185,30.371315002441406,17.055191040039062,1494.1156005859375,554.6685180664062
41,419,,,,,,0.7700687646865845,,,,,
42,429,,,,,,,1.2979203462600708,27.989578247070312,21.864892959594727,1532.7861328125,658.42724609375
42,429,,,,,,0.8142592310905457,,,,,
43,439,,,,,,,1.3957496881484985,30.578283309936523,35.845306396484375,1454.9119873046875,1585.8216552734375
43,439,,,,,,0.7344385385513306,,,,,
44,449,,,,,,,1.2634063959121704,28.582998275756836,24.476049423217773,1461.29296875,780.40087890625
44,449,,,,,,0.7214492559432983,,,,,
45,459,,,,,,,1.2615845203399658,27.765043258666992,17.52065086364746,1511.9451904296875,539.8304443359375
45,459,,,,,,0.7175706624984741,,,,,
46,460,0.9833364486694336,19.64299964904785,31.56842803955078,951.703857421875,1449.9786376953125,,,,,,
