epoch,step,test_loss,test_mae_brightness,test_mae_emission,test_mse_brightness,test_mse_emission,train_loss,val_loss,val_mae_brightness,val_mae_emission,val_mse_brightness,val_mse_emission
0,9,,,,,,,12.82982349395752,166.00355529785156,47.3038330078125,28063.546875,3472.048828125
0,9,,,,,,109.17218017578125,,,,,
1,19,,,,,,,1.8601731061935425,37.375938415527344,70.3160400390625,1844.56787109375,6752.98291015625
1,19,,,,,,4.120635032653809,,,,,
2,29,,,,,,,0.5165025591850281,18.055295944213867,36.47288131713867,527.8301391601562,1831.0574951171875
2,29,,,,,,1.2365350723266602,,,,,
3,39,,,,,,,0.585216224193573,17.418827056884766,37.805458068847656,505.5356140136719,2334.59228515625
3,39,,,,,,1.0266457796096802,,,,,
4,49,,,,,,,0.5547776818275452,17.158369064331055,40.36937713623047,519.1134643554688,2101.137451171875
4,49,,,,,,0.9364610910415649,,,,,
5,59,,,,,,,1.345873236656189,27.54036521911621,64.22638702392578,1061.3492431640625,5653.61572265625
5,59,,,,,,0.9471367001533508,,,,,
6,69,,,,,,,1.1552295684814453,26.5145320892334,57.75386428833008,980.4186401367188,4657.75927734375
6,69,,,,,,1.2216452360153198,,,,,
7,79,,,,,,,1.4634345769882202,18.29786491394043,79.52684783935547,463.6103820800781,8087.38427734375
7,79,,,,,,0.878662109375,,,,,
8,89,,,,,,,1.2247098684310913,23.694433212280273,64.68035125732422,785.4153442382812,5651.466796875
8,89,,,,,,1.0063602924346924,,,,,
9,99,,,,,,,0.4904821217060089,17.969585418701172,37.31772232055664,439.6960754394531,1911.7283935546875
9,99,,,,,,0.956160843372345,,,,,
10,109,,,,,,,0.4175008237361908,14.877517700195312,34.25743103027344,352.863037109375,1687.4222412109375
10,109,,,,,,0.8836116790771484,,,,,
11,119,,,,,,,0.5152831077575684,19.89277458190918,31.6483211517334,623.5808715820312,1554.2060546875
11,119,,,,,,0.8273515701293945,,,,,
12,129,,,,,,,0.4323585331439972,15.507122039794922,29.01011085510254,467.5971984863281,1460.3916015625
12,129,,,,,,0.9982253909111023,,,,,
13,139,,,,,,,0.7832782864570618,29.132766723632812,34.92448043823242,1111.1505126953125,1903.8621826171875
13,139,,,,,,0.9453026056289673,,,,,
14,149,,,,,,,1.273362159729004,25.05267906188965,67.97884368896484,852.5768432617188,5774.93701171875
14,149,,,,,,0.9104447364807129,,,,,
15,159,,,,,,,0.8788430094718933,15.660213470458984,61.47408676147461,329.6138000488281,4712.8984375
15,159,,,,,,1.0174729824066162,,,,,
16,169,,,,,,,0.40427684783935547,16.026350021362305,31.24346351623535,337.37786865234375,1646.0806884765625
16,169,,,,,,0.7687891125679016,,,,,
17,179,,,,,,,0.4109293222427368,15.135754585266113,32.23116683959961,314.75823974609375,1752.31884765625
17,179,,,,,,0.5814974308013916,,,,,
18,189,,,,,,,0.44249391555786133,15.49799633026123,34.267086029052734,321.509521484375,1935.8814697265625
18,189,,,,,,0.6017134189605713,,,,,
19,199,,,,,,,0.4663342535495758,14.143844604492188,34.85200881958008,381.6900634765625,1919.7626953125
19,199,,,,,,0.6257730722427368,,,,,
20,209,,,,,,,0.39200901985168457,17.093320846557617,26.15622901916504,380.302001953125,1446.7626953125
20,209,,,,,,0.6482531428337097,,,,,
21,219,,,,,,,0.455436110496521,21.18486976623535,23.862855911254883,624.509033203125,1167.596923828125
21,219,,,,,,0.7250799536705017,,,,,
22,229,,,,,,,0.33299770951271057,14.807003021240234,21.509836196899414,346.8984069824219,1161.9764404296875
22,229,,,,,,0.734808087348938,,,,,
23,239,,,,,,,0.35980597138404846,14.50169849395752,24.12238311767578,392.5999755859375,1205.5823974609375
23,239,,,,,,0.7092785835266113,,,,,
24,249,,,,,,,0.36144235730171204,18.288818359375,21.841781616210938,419.0970153808594,1141.634521484375
24,249,,,,,,0.5662349462509155,,,,,
25,259,,,,,,,0.39540544152259827,16.501670837402344,31.898046493530273,341.66748046875,1577.1055908203125
25,259,,,,,,0.537558913230896,,,,,
26,269,,,,,,,0.403449147939682,18.61431312561035,26.29157066345215,440.1461181640625,1352.0250244140625
26,269,,,,,,0.5490505695343018,,,,,
27,279,,,,,,,0.508259117603302,15.388081550598145,41.6484260559082,336.1601257324219,2316.693359375
27,279,,,,,,0.563793420791626,,,,,
28,289,,,,,,,0.3192653954029083,16.97210121154785,20.92255210876465,353.8025817871094,1054.46630859375
28,289,,,,,,0.5438393354415894,,,,,
29,299,,,,,,,0.4970565140247345,21.655675888061523,21.6769962310791,762.4202270507812,1047.165283203125
29,299,,,,,,0.5532411336898804,,,,,
30,309,,,,,,,0.34837010502815247,14.95339584350586,23.800336837768555,399.8186340332031,1111.9239501953125
30,309,,,,,,0.7164122462272644,,,,,
31,319,,,,,,,0.3861182630062103,15.01044750213623,29.06958770751953,396.9124450683594,1362.2957763671875
31,319,,,,,,0.6213467717170715,,,,,
32,329,,,,,,,0.3724576234817505,15.06394100189209,20.27680778503418,477.562744140625,1048.04296875
32,329,,,,,,0.624446451663971,,,,,
33,339,,,,,,,0.40061068534851074,19.66511344909668,26.31745147705078,491.6158752441406,1189.2000732421875
33,339,,,,,,0.5683301687240601,,,,,
34,349,,,,,,,0.31564244627952576,15.9902925491333,22.67378807067871,344.4687805175781,1057.4443359375
34,349,,,,,,0.5813030004501343,,,,,
35,359,,,,,,,0.34765616059303284,15.448928833007812,26.454980850219727,359.9352722167969,1219.4017333984375
35,359,,,,,,0.5848138928413391,,,,,
36,369,,,,,,,0.45691990852355957,20.854753494262695,28.17540740966797,588.5369262695312,1278.1856689453125
36,369,,,,,,0.537502646446228,,,,,
37,379,,,,,,,0.4542813301086426,16.05668830871582,38.54258728027344,337.2868347167969,1967.1845703125
37,379,,,,,,0.5838499069213867,,,,,
38,389,,,,,,,0.3599809408187866,14.647923469543457,24.159475326538086,431.7866516113281,1096.6033935546875
38,389,,,,,,0.5264213681221008,,,,,
39,399,,,,,,,0.46090078353881836,21.00147247314453,27.7987003326416,599.7670288085938,1272.1768798828125
39,399,,,,,,0.5453081727027893,,,,,
40,409,,,,,,,0.4208889305591583,17.29543113708496,21.407743453979492,597.8193359375,1020.9169311523438
40,409,,,,,,0.6390388607978821,,,,,
41,419,,,,,,,0.3403973877429962,14.974475860595703,24.284509658813477,390.5190124511719,1086.895751953125
41,419,,,,,,0.5161885619163513,,,,,
42,429,,,,,,,0.47369685769081116,15.170402526855469,32.03166198730469,513.7265014648438,1596.0264892578125
42,429,,,,,,0.5603269934654236,,,,,
43,439,,,,,,,0.5182139277458191,16.410959243774414,33.33610534667969,568.0454711914062,1729.04638671875
43,439,,,,,,0.629552960395813,,,,,
44,449,,,,,,,0.32145801186561584,16.14206886291504,21.054412841796875,358.9466247558594,1054.0811767578125
44,449,,,,,,0.5733996629714966,,,,,
45,459,,,,,,,0.33782732486724854,18.467321395874023,21.259262084960938,415.6640319824219,999.756591796875
45,459,,,,,,0.5045573711395264,,,,,
46,469,,,,,,,0.3600635230541229,18.364397048950195,25.58306884765625,412.142822265625,1152.32666015625
46,469,,,,,,0.5353497862815857,,,,,
47,479,,,,,,,0.3702894151210785,15.665780067443848,29.03917694091797,376.8437805175781,1317.1173095703125
47,479,,,,,,0.5546693801879883,,,,,
48,489,,,,,,,0.43179580569267273,17.227514266967773,35.06636047363281,372.4483947753906,1724.1163330078125
48,489,,,,,,0.5354398488998413,,,,,
49,499,,,,,,,0.5955845713615417,22.241872787475586,39.15286636352539,656.1808471679688,1977.85791015625
49,499,,,,,,0.5699909329414368,,,,,
50,509,,,,,,,0.5589093565940857,21.961034774780273,36.534542083740234,645.038818359375,1773.8404541015625
50,509,,,,,,0.5829087495803833,,,,,
51,519,,,,,,,0.3895721435546875,16.837675094604492,31.577749252319336,368.2212219238281,1465.0694580078125
51,519,,,,,,0.5569216012954712,,,,,
52,529,,,,,,,0.3962364196777344,18.805463790893555,29.059341430664062,433.9339294433594,1323.2005615234375
52,529,,,,,,0.4861030578613281,,,,,
53,539,,,,,,,0.39823660254478455,16.626977920532227,32.586952209472656,371.3980407714844,1511.73828125
53,539,,,,,,0.5285686254501343,,,,,
54,549,,,,,,,0.3461735248565674,15.361454963684082,21.64424705505371,425.4723205566406,1025.7510986328125
54,549,,,,,,0.5077686309814453,,,,,
55,550,0.5513542294502258,24.547767639160156,26.040842056274414,893.6300659179688,1026.9051513671875,,,,,,
